City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
203,Praia Da Vitoria,38.73,-27.07,72.0,88,75,16.46,PT,broken clouds
204,Kyzyl-Suu,42.34,78.0,44.11,59,0,3.29,KG,clear sky
205,Gamut,8.53,126.24,74.77,95,98,4.47,PH,overcast clouds
206,Caborca,30.58,-111.1,98.01,25,1,1.01,MX,clear sky
207,Waiuku,-37.25,174.75,55.99,100,11,3.36,NZ,few clouds
208,Kahului,20.89,-156.47,84.2,58,20,4.7,US,few clouds
209,Mar Del Plata,-38.0,-57.56,48.0,52,75,10.29,AR,broken clouds
210,Moron,-34.65,-58.62,55.0,54,40,14.99,AR,scattered clouds
211,Pemberton,50.32,-122.8,64.4,63,5,1.3,CA,clear sky
212,Marion,39.77,-86.16,64.99,36,75,11.41,US,broken clouds
213,Paithan,19.48,75.38,77.0,78,40,5.3,IN,scattered clouds
214,Sokoto,13.06,5.24,76.05,72,100,5.08,NG,overcast clouds
215,Udachnyy,66.42,112.4,30.2,92,90,6.71,RU,light snow
216,Crotone,39.09,17.12,73.4,100,40,13.87,IT,light intensity drizzle
217,Binga,-17.62,27.34,79.32,37,0,2.57,ZW,clear sky
218,Kazachinskoye,57.7,93.28,39.0,82,100,6.24,RU,overcast clouds
219,Bambous Virieux,-20.34,57.76,69.8,88,40,1.12,MU,scattered clouds
220,Souillac,-20.52,57.52,69.8,88,40,1.12,MU,scattered clouds
221,Vostok,46.49,135.88,36.72,99,1,6.24,RU,clear sky
222,Ongandjera,-17.88,15.07,80.67,14,99,20.38,NA,overcast clouds
223,Seymchan,62.88,152.43,27.12,93,0,3.09,RU,clear sky
224,Ballina,-28.87,153.57,55.0,93,51,3.69,AU,broken clouds
225,Bathsheba,13.22,-59.52,86.0,66,20,10.29,BB,few clouds
226,Arraial Do Cabo,-22.97,-42.03,77.0,88,40,6.93,BR,scattered clouds
227,Bandundu,-3.32,17.37,78.82,73,13,2.75,CD,light rain
228,Donskoye,45.46,41.97,53.6,87,90,6.71,RU,overcast clouds
229,Fort Nelson,58.81,-122.7,50.0,76,75,2.24,CA,broken clouds
230,Sechura,-5.56,-80.82,77.65,51,61,17.38,PE,broken clouds
231,Kiama,-34.68,150.87,64.99,76,97,11.99,AU,overcast clouds
232,Solok,-0.79,100.66,71.37,78,99,1.1,ID,overcast clouds
233,Helong,42.54,129.0,42.39,72,0,5.88,CN,clear sky
